start_date,country_name,iso3c,duration,geo_scope,shutdown_extent
2018-05-11T00:00:00Z,India,IND,NA,local,full network
2018-05-12T00:00:00Z,India,IND,NA,regional,full network
2018-05-12T00:00:00Z,India,IND,NA,local,full network
2018-05-12T00:00:00Z,India,IND,NA,local,full network
2018-05-19T00:00:00Z,India,IND,1,regional,NA
2018-05-24T00:00:00Z,India,IND,3,regional,full network
2018-05-27T00:00:00Z,Syria,SYR,NA,national,full network
2018-05-27T00:00:00Z,India,IND,NA,local,NA
2018-05-31T00:00:00Z,Iraq,IRQ,NA,national,full network
2018-06-01T00:00:00Z,India,IND,NA,local,full network
2018-06-02T00:00:00Z,India,IND,NA,regional,NA
2018-06-04T00:00:00Z,Mali,MLI,NA,national,service-based
2018-06-06T00:00:00Z,India,IND,NA,regional,full network
2018-06-08T00:00:00Z,India,IND,NA,regional,full network
2018-06-08T00:00:00Z,India,IND,1,local,NA
2018-06-09T00:00:00Z,India,IND,1,local,full network
